id_venta,fecha,producto,categoria,cantidad,precio_unitario,id_cliente,total
1,2024-04-12T00:00:00.000000,Monitor,Electrónica,4,187.05,17,748.2
2,2024-06-28T00:00:00.000000,Mochila,Informática,7,317.99,1,2225.93
3,2024-04-02T00:00:00.000000,Monitor,Electrónica,3,318.6,16,955.8
4,2024-01-15T00:00:00.000000,Mochila,Electrónica,6,270.21,12,1621.26
5,2024-04-16T00:00:00.000000,Monitor,Informática,2,49.69,19,99.38
6,2024-03-12T00:00:00.000000,Webcam,Informática,9,418.47,14,3766.23
7,2024-07-07T00:00:00.000000,Parlante,Informática,5,163.79,6,818.95
8,2024-01-21T00:00:00.000000,Mochila,Electrónica,6,97.33,6,583.98
9,2024-04-12T00:00:00.000000,Teclado,Informática,4,25.18,13,100.72
10,2024-05-01T00:00:00.000000,Notebook,Informática,7,297.49,19,2082.43
11,2024-03-15T00:00:00.000000,Auriculares,Electrónica,9,340.39,8,3063.51
12,2024-03-28T00:00:00.000000,Monitor,Informática,7,13.21,2,92.47
13,2024-04-26T00:00:00.000000,Mouse,Electrónica,1,258.49,1,258.49
14,2024-04-09T00:00:00.000000,Parlante,Accesorios,1,117.12,15,117.12
15,2024-04-13T00:00:00.000000,Monitor,Informática,9,324.36,1,2919.24
16,2024-05-31T00:00:00.000000,Mouse,Accesorios,9,91.31,5,821.79
17,2024-05-10T00:00:00.000000,Notebook,Electrónica,4,347.01,16,1388.04
18,2024-05-29T00:00:00.000000,Notebook,Informática,9,196.43,19,1767.87
19,2024-02-22T00:00:00.000000,Notebook,Electrónica,3,468.68,4,1406.04
20,2024-01-02T00:00:00.000000,Mouse,Accesorios,7,73.07,3,511.49
21,2024-03-28T00:00:00.000000,Monitor,Electrónica,6,173.83,17,1042.98
22,2024-06-06T00:00:00.000000,Notebook,Informática,8,61.17,17,489.36
23,2024-02-07T00:00:00.000000,Webcam,Informática,9,462.72,12,4164.48
24,2024-05-09T00:00:00.000000,Mochila,Accesorios,5,439.28,14,2196.4
25,2024-07-10T00:00:00.000000,Mouse,Electrónica,1,132.68,6,132.68
26,2024-07-06T00:00:00.000000,Mouse,Informática,3,331.69,3,995.07
27,2024-01-21T00:00:00.000000,Monitor,Accesorios,8,409.52,9,3276.16
28,2024-06-09T00:00:00.000000,Mouse,Informática,6,279.82,5,1678.92
29,2024-02-27T00:00:00.000000,Mouse,Informática,8,267.18,17,2137.44
30,2024-01-22T00:00:00.000000,Notebook,Electrónica,9,124.72,14,1122.48
31,2024-03-29T00:00:00.000000,Monitor,Informática,4,51.09,3,204.36
32,2024-02-18T00:00:00.000000,Notebook,Electrónica,1,449.12,1,449.12
33,2024-02-28T00:00:00.000000,Mochila,Informática,1,450.71,20,450.71
34,2024-06-18T00:00:00.000000,Parlante,Accesorios,4,318.39,1,1273.56
35,2024-07-06T00:00:00.000000,Mochila,Informática,7,172.82,3,1209.74
36,2024-01-15T00:00:00.000000,Parlante,Electrónica,2,177.86,18,355.72
37,2024-07-08T00:00:00.000000,Notebook,Electrónica,3,364.35,10,1093.05
38,2024-07-08T00:00:00.000000,Mochila,Accesorios,1,449.07,3,449.07
39,2024-06-23T00:00:00.000000,Monitor,Informática,5,444.11,8,2220.55
40,2024-07-08T00:00:00.000000,Auriculares,Informática,1,391.04,14,391.04
41,2024-02-20T00:00:00.000000,Notebook,Accesorios,8,322.81,18,2582.48
42,2024-04-17T00:00:00.000000,Parlante,Informática,1,46.65,15,46.65
43,2024-02-24T00:00:00.000000,Webcam,Informática,1,85.01,2,85.01
44,2024-03-04T00:00:00.000000,Parlante,Electrónica,2,449.78,10,899.56
45,2024-05-10T00:00:00.000000,Webcam,Informática,2,305.18,2,610.36
46,2024-02-20T00:00:00.000000,Mouse,Informática,6,9.55,17,57.3
47,2024-05-14T00:00:00.000000,Mochila,Accesorios,7,55.23,8,386.61
48,2024-01-21T00:00:00.000000,Webcam,Accesorios,5,333.43,1,1667.15
49,2024-03-13T00:00:00.000000,Parlante,Electrónica,1,7.51,9,7.51
50,2024-06-15T00:00:00.000000,Mouse,Informática,1,84.6,11,84.6
51,2024-01-18T00:00:00.000000,Auriculares,Informática,3,276.62,16,829.86
52,2024-05-11T00:00:00.000000,Monitor,Informática,2,347.49,7,694.98
53,2024-03-29T00:00:00.000000,Monitor,Electrónica,5,327.72,10,1638.6
54,2024-02-29T00:00:00.000000,Monitor,Electrónica,6,116.01,3,696.06
55,2024-01-14T00:00:00.000000,Webcam,Accesorios,7,357.53,18,2502.71
56,2024-01-09T00:00:00.000000,Auriculares,Electrónica,4,122.44,13,489.76
57,2024-03-30T00:00:00.000000,Webcam,Informática,7,166.07,7,1162.49
58,2024-02-22T00:00:00.000000,Mochila,Informática,8,374.51,4,2996.08
59,2024-05-09T00:00:00.000000,Webcam,Electrónica,1,326.57,13,326.57
60,2024-03-24T00:00:00.000000,Auriculares,Informática,6,425.37,20,2552.22
