mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
25.3,4,188.5,61.9,2226,21.9,71,1
9.0,6,277.4,117.9,3703,14.7,80,3
21.3,4,180.2,92.4,2623,20.9,77,1
13.3,6,254.0,116.7,3321,17.6,70,2
9.0,8,349.1,148.6,4097,13.7,78,3
18.7,4,176.5,76.1,2766,21.0,78,1
11.2,6,259.4,87.6,3227,21.2,82,1
12.5,6,267.4,103.0,3155,17.4,71,1
9.0,8,370.6,138.2,4316,13.5,72,1
25.6,4,170.6,46.4,1718,21.6,73,1
21.0,4,197.1,80.5,2474,19.5,82,2
9.0,8,376.0,146.9,4160,16.3,70,3
9.0,8,357.8,131.3,3715,16.4,80,1
17.9,4,182.9,54.7,2973,18.4,71,1
15.8,4,150.9,66.6,2435,19.0,81,1
12.1,6,285.5,131.2,3449,14.9,71,3
9.0,8,333.9,128.1,3760,18.1,75,1
19.7,4,176.2,45.4,2586,22.9,75,1
14.3,6,294.1,118.0,3471,15.4,76,3
9.0,8,368.9,150.0,3920,14.5,70,1
16.5,6,289.9,123.5,3159,13.1,79,2
21.6,4,181.0,64.4,2607,19.8,81,3
24.4,4,183.7,71.1,2364,18.0,73,1
18.8,4,166.3,55.4,2723,20.7,81,1
9.0,8,394.8,134.8,4097,15.0,72,3
20.8,4,178.7,78.1,2566,20.7,74,1
19.0,4,183.5,78.6,3135,18.5,72,1
19.0,4,178.8,81.7,2553,20.7,78,3
20.8,4,137.4,51.2,2475,22.0,80,2
20.7,4,150.8,56.7,2677,19.4,74,1
20.1,4,176.6,72.3,2640,19.9,79,1
14.2,6,234.5,83.6,3001,19.9,70,1
9.0,6,261.5,107.4,3545,15.3,80,1
21.5,4,179.6,51.7,2379,22.0,70,1
19.9,4,163.8,67.6,2603,20.1,80,1
20.7,4,159.3,65.5,2480,23.2,72,3
12.8,6,280.4,107.1,3468,20.1,76,3
9.0,8,362.0,133.2,4209,14.3,82,1
9.0,8,355.0,114.6,4175,15.2,73,2
23.5,4,194.6,58.4,2451,21.3,79,1
24.3,4,183.9,56.2,2289,22.1,82,1
9.0,8,346.2,103.3,3997,18.0,75,1
9.0,8,393.8,145.5,4202,15.4,74,2
16.4,4,190.5,92.1,2753,21.0,76,1
14.1,6,278.2,94.4,3089,17.4,79,1
9.5,8,363.2,121.2,3805,17.5,79,2
11.7,6,306.7,128.4,3332,17.8,79,1
9.0,8,345.6,123.0,3709,16.5,74,3
21.3,4,169.0,79.1,2181,20.4,78,1
24.1,4,168.3,64.6,2306,22.0,82,2
25.7,4,156.6,54.6,2165,20.2,72,1
20.2,4,181.9,82.4,2523,19.2,74,1
9.0,8,358.7,155.0,3998,16.2,76,2
20.1,4,175.5,59.7,2558,19.7,75,1
10.3,6,257.4,99.5,3204,20.4,81,1
25.3,4,194.2,78.1,2170,19.3,73,1
19.6,4,186.3,54.8,2947,22.2,75,1
17.9,4,191.3,100.9,2931,17.5,72,2
20.4,4,191.6,87.0,2540,19.8,76,1
13.4,6,274.5,121.8,2852,17.9,74,2
12.7,6,265.0,109.4,3285,16.8,73,3
20.1,4,170.6,75.3,2646,19.0,72,2
15.6,6,281.6,108.9,3499,17.6,82,1
18.9,4,176.8,77.8,2724,22.4,75,1
20.2,4,164.6,58.8,2605,19.9,79,2
13.7,4,177.4,68.4,3187,21.9,77,1
19.8,4,179.1,79.6,2452,20.8,75,3
18.1,4,173.6,113.8,3018,17.0,78,3
9.0,8,335.1,127.6,3748,16.9,81,3
9.0,8,361.2,162.5,4238,16.4,80,1
19.6,4,167.6,62.0,2619,19.5,75,3
21.3,4,176.2,55.3,2794,19.3,72,1
17.1,4,163.5,64.1,2506,21.0,70,1
24.1,4,204.3,78.6,2214,19.2,79,1
25.7,4,179.9,63.8,2053,23.3,73,2
9.6,6,251.3,102.9,3243,20.0,72,1
9.0,8,349.9,140.3,4038,12.2,72,1
21.3,4,165.9,70.4,2590,21.1,80,1
17.4,6,274.5,122.7,3202,16.0,74,1
9.9,6,263.9,97.9,3427,19.7,73,1
13.4,6,253.2,95.2,3520,17.2,74,1
20.2,4,175.4,57.7,2123,20.8,78,1
